#type;first;second;value
MNNA;USA;JAP;
MNNA;USA;AST;
MNWA;RUS;DAI;
MNWA;RUS;MGL;
MNWA;RUS;CHI;
NATO;CAN;ENG;
NATO;USA;CAN;
NATO;USA;ENG;
NATO;USA;BEL;
NATO;USA;DEN;
NATO;USA;ICL;
NATO;USA;ITA;
NATO;USA;LUX;
NATO;USA;NET;
NATO;USA;NOR;
NATO;USA;POR;
NATO;USA;GRE;
NATO;USA;TUR;
puppet;FRA;CAM;
puppet;FRA;LUA;
puppet;ENG;UAR;
puppet;ENG;BHR;
puppet;ENG;BHU;
puppet;ENG;ZIM;
puppet;RUS;MGL;
puppet;RUS;BUL;
puppet;RUS;CZH;
puppet;RUS;POL;
puppet;RUS;HUN;
puppet;RUS;ROM;
puppet;ENG;IRQ;
puppet;ENG;JOR;
puppet;ENG;KUW;
puppet;ENG;LES;
puppet;FRA;MOR;
puppet;ENG;JAK;
puppet;ENG;OMA;
puppet;ENG;QAT;
puppet;ENG;SWA;
puppet;FRA;TUN;
puppet;USA;PHI;
puppet;USA;JAP;
relation;USA;ENG;4
relation;USA;JAP;5
relation;CAN;Iceland;4
relation;ENG;IRQ;5
relation;ENG;UAR;5
relation;ENG;JOR;5
relation;ENG;KUW;5
relation;ENG;LES;5
relation;ENG;NEP;5
relation;ENG;OMA;5
relation;ENG;JAK;5
relation;ENG;PER;5
relation;ENG;QAT;5
relation;ENG;SWA;5
relation;ENG;Australia;5
relation;ENG;New Zealand;5
relation;ENG;EGY;5
relation;ENG;ZIM;5
relation;ENG;TIB;5
relation;ENG;South Africa;5
relation;FRA;TUN;5
relation;FRA;MOR;5
relation;FRA;Saarland;5
relation;FRA;Luang Prabang;5
relation;FRA;SYR;4
relation;FRA;LEB;4
relation;FRA;CAM;5
relation;RUS;Albania;4
relation;RUS;Yugoslavia;4
relation;RUS;Czechoslovakia;5
relation;RUS;Hungary;5
relation;RUS;Romania;5
relation;RUS;Bulgaria;5
relation;RUS;Poland;5
relation;RUS;Mongolia;5
relation;RUS;Azerbaijan;3
relation;RUS;Kurdistan;3
relation;RUS;East Turkestan;3
relation;RUS;Dai Viet;3
relation;RUS;China;5
relation;USA;Philippines;5
relation;USA;Thailand;4
relation;USA;Saudi Arabia;5
relation;USA;Bahrain;4
relation;USA;Qatar;4
relation;USA;Kuwait;4
relation;USA;Oman;4
relation;USA;United Arab Emirates;4
relation;USA;Liberia;5
relation;USA;Antigua And Barbuda;4
relation;USA;Bahamas;4
relation;USA;Barbados;4
relation;USA;Belize;5
relation;USA;Costa Rica;5
relation;USA;Cuba;5
relation;USA;Dominica;5
relation;USA;Dominican Republic;5
relation;USA;El Salvador;5
relation;USA;Greenland;4
relation;USA;Grenada;5
relation;USA;Guatemala;5
relation;USA;Haiti;5
relation;USA;Honduras;5
relation;USA;Jamaica;5
relation;USA;Mexico;4
relation;USA;Nicaragua;5
relation;USA;Panama;5
relation;USA;St Kits And Nevis;5
relation;USA;St Lucia;5
relation;USA;St Vincent And Grenadines;5
relation;USA;Trinidad and Tobago;5
relation;USA;Argentina;5
relation;USA;Bolivia;5
relation;USA;Brazil;5
relation;USA;Chile;5
relation;USA;Colombia;5
relation;USA;Ecuador;5
relation;USA;Guyana;5
relation;USA;Paraguay;5
relation;USA;Peru;5
relation;USA;Suriname;5
relation;USA;Uruguay;5
relation;USA;Venezuela;5
relation;USA;Australia;4
relation;USA;Fiji;5
relation;USA;Kiribati;5
relation;USA;Marshall Islands;5
relation;USA;Micronesia;5
relation;USA;Nauru;5
relation;USA;New Zealand;4
relation;USA;Palau;4
relation;USA;Papua New Guinea;4
relation;USA;Samoa;4
relation;USA;Solomon Islands;4
relation;USA;Tonga;4
relation;USA;Tuvalu;4
relation;USA;Vanuatu;4
relation;KMT;Dai Viet;4
relation;USA;BEL;5
relation;USA;DEN;5
relation;USA;ICL;5
relation;USA;ITA;5
relation;USA;LUX;5
relation;USA;NET;5
relation;USA;NOR;5
relation;USA;POR;5
relation;USA;GRE;5
relation;USA;TUR;5
relation;USA;Indonesia;3
relation;USA;Ireland;4
relation;USA;Lebanon;3
relation;ENG;Lebanon;3
relation;ENG;Ethiopia;3
relation;FRA;Ethiopia;3
