#type;first;second;
MNNA;USA;JAP;
MNNA;USA;AST;
MNNA;USA;EGY;
MNNA;USA;ISR;
MNNA;USA;SKO;
MNNA;USA;MOR;
MNWA;RUS;SYR;
NATO;ENG;CAN;
NATO;USA;CAN;
NATO;USA;BEL;
NATO;USA;DEN;
NATO;USA;ICL;
NATO;USA;ITA;
NATO;USA;LUX;
NATO;USA;NET;
NATO;USA;NOR;
NATO;USA;POR;
NATO;USA;GRE;
NATO;USA;TUR;
NATO;USA;SPA;
Other;CRO;HZB;
Other;SER;RSR;
Other;SER;SRK;
Other;WSA;ALG;
puppet;TUR;NCY;
puppet;DEN;FAR;
puppet;DEN;GRN;
puppet;NET;ARU;
puppet;NZL;TOK;
puppet;NZL;NIU;
puppet;NZL;COI;
puppet;SAF;TRK;
puppet;SAF;BOP;
puppet;SAF;CIS;
puppet;SAF;GZA;
puppet;SAF;VED;
puppet;SAF;LBW;
puppet;SAF;NGW;
puppet;SAF;NDB;
puppet;SAF;QWA;
puppet;SAF;ZUL;
puppet;USA;PUR;
puppet;USA;NMI;
puppet;HND;BHU;
puppet;CHI;NKO;
puppet;ENG;BEU;
puppet;ENG;CYI;
puppet;ENG;TCI;
WEU;FRA;GER;
WEU;FRA;ITA;
relation;CAN;Iceland;4
relation;ENG;BEU;5
relation;ENG;CYI;5
relation;ENG;TCI;5
relation;ENG;Brunei;4
relation;ENG;St Kits And Nevis;5
relation;ENG;Maldives;4
relation;ENG;Antigua And Barbuda;5
relation;ENG;Belize;4
relation;ENG;Vanuatu;4
relation;ENG;St Vincent And Grenadines;4
relation;ENG;Kiribati;4
relation;ENG;St Lucia;4
relation;ENG;Dominica;4
relation;ENG;Tuvalu;4
relation;ENG;Solomon Islands;4
relation;ENG;Seychelles;4
relation;ENG;Papua New Guinea;4
relation;ENG;Grenada;4
relation;ENG;Bahamas;4
relation;ENG;Cyprus;5
relation;ENG;Bangladesh;3
relation;ENG;Fiji;4
relation;ENG;Samoa;4
relation;ENG;Tonga;4
relation;ENG;Nauru;4
relation;ENG;Swaziland;4
relation;ENG;Mauritius;4
relation;ENG;Barbados;4
relation;ENG;Lesotho;4
relation;ENG;Botswana;4
relation;ENG;Guyana;4
relation;ENG;Singapore;4
relation;ENG;Zambia;4
relation;ENG;Malta;4
relation;ENG;Malawa;5
relation;ENG;Kenya;4
relation;ENG;Uganda;4
relation;ENG;Trinidad and Tobago;4
relation;ENG;Jamaica;4
relation;ENG;Tanzania;4
