#country;infantry;motorized_infantry;mechanized_infantry;tank;artillery;bomber;fighter;carriers;transportship;cruisser;destroyer;frigate;patrolboat;submarine;ports;military_base
Afghanistan;160000;48000;;0;;;0;0;0;0;0;0;0;0;;
Albania;0;32000;;0;;;0;0;0;0;0;0;1;0;Durres;
Argentina;240000;208000;;0;;;0;0;0;0;0;0;0;0;;
Australia;0;264000;;0;;;0;0;1;1;1;2;4;0;Sydney,Perth,Palmerston,Cooktown;
Bahrain;0;0;;0;;;0;0;0;0;0;0;0;0;;
Barbados;0;0;;0;;;0;0;0;0;0;0;0;0;;
Belgium;120000;120000;;0;;;0;0;2;2;1;2;3;0;Bruges;
Belize;0;0;;0;;;0;0;0;0;0;0;0;0;;
Bhutan;0;0;;0;;;0;0;0;0;0;0;0;0;;
Bolivia;64000;16000;;0;;;0;0;0;0;0;0;0;0;;
Brazil;0;320000;;0;;;0;0;2;2;1;2;3;0;Rio de Janeiro;
Bulgaria;80000;104000;;0;;;0;0;0;0;0;0;4;0;Varna;
Cambodia;0;0;;0;;;0;0;0;0;0;0;0;0;Kampot;
Canada;80000;288000;;0;;;0;0;4;4;1;2;5;1;Halifax,Vancouver Island,Saint Johns;
Chile;80000;80000;;0;;;0;0;1;1;0;0;2;0;Valparaiso;
China;0;4800000;;0;;;0;0;0;0;0;0;0;0;1616;
Colombia;160000;160000;;0;;;0;0;1;1;0;0;4;0;Cartagena de Indias;
Costa Rica;16000;24000;;0;;;0;0;0;0;0;0;1;0;;
Cuba;80000;80000;;0;;;0;0;0;0;0;0;2;0;;
Czechoslovakia;160000;160000;;0;;;0;0;0;0;0;0;0;0;;
Denmark;24000;80000;;0;;;0;0;0;0;0;0;4;0;;
Dominican Republic;32000;24000;;0;;;0;0;0;0;0;0;1;0;;
Ecuador;40000;40000;;0;;;0;0;0;0;0;0;1;0;Guayaquil;
Egypt;544000;16000;;0;;;0;0;0;0;0;0;3;0;Alexandria;
El Salvador;40000;16000;;0;;;0;0;0;0;0;0;1;0;;
Ethiopia;400000;128000;;0;;;0;0;0;0;0;0;0;0;;
East Turkestan;80000;0;;0;;;0;0;0;0;0;0;0;0;;
Finland;40000;64000;;0;;;0;0;0;0;0;0;4;0;;
France;160000;960000;;0;;;0;0;0;0;2;10;10;10;Toulon,Brest,Caen,Dunkirk,Martinique,New Caledonia,Tahiti,Bourbon,Cayenne,Bordeaux;
Greece;160000;24000;;0;;;0;0;0;0;0;0;5;0;;
Guatemala;64000;16000;;0;;;0;0;0;0;0;0;1;0;;
Haiti;40000;40000;;0;;;0;0;0;0;0;0;1;0;;
Honduras;8000;24000;;0;;;0;0;0;0;0;0;0;0;;
Hungary;120000;120000;;1000;;;0;0;0;0;0;0;0;0;;
Iceland;0;0;;0;;;0;0;0;0;0;0;0;0;;
Indonesia;640000;48000;;0;;;0;0;0;0;0;0;0;0;;
Persia;240000;184000;;0;;;0;0;0;0;0;0;5;0;Abadan;
Iraq;80000;24000;;0;;;0;0;0;0;0;0;1;0;Basra;
Ireland;0;56000;;0;;;0;0;0;0;0;0;1;0;;
Italy;240000;240000;;0;;;0;0;0;0;0;6;10;0;Catania,Brindisi,Genoa,Massa;
Japan;0;0;;0;;;0;0;0;0;0;0;0;0;Yokohama, Nagasaki, Kyoto, Hiroshima, Aomori;
Jordan;0;16000;;0;;;0;0;0;0;0;0;0;0;;
Kuwait;0;0;;0;;;0;0;0;0;0;0;0;0;;
Laos;0;0;;0;;;0;0;0;0;0;0;0;0;;
Lebanon;0;32000;;0;;;0;0;0;0;0;0;1;0;;
Liberia;0;32000;;0;;;0;0;0;0;0;0;0;0;;
Luxemburg;0;8000;;0;;;0;0;0;0;0;0;0;0;;
Mexico;400000;344000;;0;;;0;0;1;1;0;0;4;0;Veracruz, Acapulco;
Mongolia;24000;0;;0;;;0;0;0;0;0;0;0;0;;
Morocco;80000;104000;;0;;;0;0;0;0;0;0;2;0;Casablanca;
Nepal;184000;24000;;0;;;0;0;0;0;0;0;0;0;;
Netherlands;0;264000;;0;;;0;0;5;5;1;2;5;0;;
