party_conservative_0_PRU;Union CDU/CSU;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_1_PRU;ALFA;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_2_PRU;Freie Waehler;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_PRU;FDP;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_1_PRU;Piratenpartei;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_PRU;SPD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_PRU;Linkspartei/PDS;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_2_PRU;Die Linke;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_PRU;Die Gruenen;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_1_PRU;Buendnis 90/Die Gruenen;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_PRU;Sozialistische Reichspartei;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_PRU;Partei Bibeltreuer Christen;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_2_PRU;Buendnis C;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_3_PRU;NPD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_4_PRU;AfD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_PRU;Fraktion Kalifatstaat;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_1_PRU;Politische Salafisten;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_PRU;KPD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_1_PRU;DKP;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_2_PRU;MLPD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_KUK;Christian Electoral Community;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_KUK;ЦVP;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_KUK;SPЦ;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_KUK;Green Alternative;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_KUK;European Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_KUK;FPЦ;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_KUK;Central Council of Muslims;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_KUK;Communist Party of Austria;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_AIN;Liberal Democratic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_AIN;Japan Innovation Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_AIN;Democratic Party of Japan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_AIN;People's Life Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_AIN;Komeito;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_AIN;Party for Future Generations;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_AIN;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
