#  STRING NAME (do not change!);English;;;;;;;;;;X
##;;;;;;;;;;;X
# New World Order 2;;;;;;;;;;;X
##;;;;;;;;;;;X
# Events;;;;;;;;;;;X
##;;;;;;;;;;;X
AI_EVENT;ai event;;;;;;;;;;X
EVT_8014272_NAME;Orient Our Position in South Asia;;;;;;;;;;X
EVT_8014272_DESC;In South Asia, the Soviets saw the anti-colonial, socialist Indian state as a potential ally, quickly brushing off Pakistan overtures for military aid. The Indian PM was invited to visit to show their warming ties.;;;;;;;;;;X
EVT_8014272_A;Invite the Indian PM;;;;;;;;;;X
EVT_8015856_NAME;Offer Pakistan a Defence Pact;;;;;;;;;;X
EVT_8015856_DESC;Pakistan was desperate for super power support to counter India, America wished to contain Soviet influence. After a series of high level meetings in the early 1950s, Pakistan convinced the US it would be a perfect anti-communist bulwark in South Asia;;;;;;;;;;X
EVT_8015856_A;Offer Pakistan the Defence Pact;;;;;;;;;;X
EVT_8015856_B;Might get expensive;;;;;;;;;;X
EVT_8015857_NAME;Finalize Arms exports and ask for military access;;;;;;;;;;X
EVT_8015857_DESC;After the 1954 agreement and Pakistan joining CENTO, the US setup a military training mission and began an extensive military aid and training mission. In 1957 the US also requested permission to use Pakistani air fields.;;;;;;;;;;X
EVT_8015857_A;Ask permission, finish shipment of arms.;;;;;;;;;;X
EVT_8015858_NAME;US Responds to South Asia Conflict;;;;;;;;;;X
EVT_8015858_DESC;When fighting flared up in Kashmir, the US was furious at Pakistan for instigating conflict. They had been assured US arms would only be used against communists, not India. The resulting conflict saw the US suspend all arms shipments to both states. Pakistan was much more effected and betrayed than India.;;;;;;;;;;X
EVT_8015858_A;We said only against communists!;;;;;;;;;;X
EVT_8015859_NAME;India needs our help!;;;;;;;;;;X
EVT_8015859_DESC;After India realized it was quite outmatched by China, Nehru swallowed his pride and begged western military support to prevent Chinese conquest. The US saw an opportunity to move India away from the Soviets and agreed to help, greatly angering Pakistan.;;;;;;;;;;X
EVT_8015859_A;Accept India's pleas for help;;;;;;;;;;X
EVT_8005017_NAME;Profumo affair;;;;;;;;;;X
EVT_8005017_DESC;The Profumo affair was a British political scandal that originated with a brief sexual relationship in 1961 between John Profumo, the Secretary of State for War in Harold Macmillan's government, and Christine Keeler, a 19-year-old would-be model. In March 1963 Profumo denied any impropriety in a personal statement[n 1] to the House of Commons, but was forced to admit the truth a few weeks later. He resigned from the government and from Parliament. The repercussions of the affair severely damaged Macmillan's self-confidence, and he resigned as prime minister on health grounds in October 1963. His Conservative Party was marked by the scandal, which may have contributed to its defeat by Labour in the 1964 general election.;;;;;;;;;;X
EVT_8005017_A;This is bad!;;;;;;;;;;X
EVT_8029720_NAME;Union of Tanganyika and Zanzibar;;;;;;;;;;X
