CODE;ENGLISH;;;;;;;;x;;;;;;;;;;;;;
#LOADING_DATABASES;Loading Databases...;;;;;;;;x;;;;;;;;;;;;;
#AT_WAR_TENSION_DECAY;$COUNTRY$ is at war: §Y$VAL$§;;;;;;;;x;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;Brigades comparison factor of two countries is at least §Y$VAL$§!;;;;;;;;x;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;Brigades comparison factor of two countries is less than §Y$VAL$§!;;;;;;;;x;;;;;;;;;;;;;
CB_TOWARDS_US_DETECTED_3;§Y$CASUS$§! Casus Belli;;;;;;;;x;;;;;;;;;;;;;
#COUNTRYALERT_CanRemoveFromSphere;We can remove nations from our §YSphere of Influence§!:;;;;;;;;x;;;;;;;;;;;;;
#COUNTRYALERT_ColonialBad_influence;§RWe are losing the race in §!§Y$REGION$§!;;;;;;;;x;;;;;;;;;;;;;
#COUNTRYALERT_ColonialGood_colony;§GWe can create a colony in §!§Y$REGION$§!;;;;;;;;x;;;;;;;;;;;;;
#COUNTRYALERT_ColonialGood_invest;§GWe can invest in our a colony in §!§Y$REGION$§!;;;;;;;;x;;;;;;;;;;;;;
#COUNTRYALERT_ColonialGood_protectorate;§GWe can create a protectorate in §!§Y$REGION$§!;;;;;;;;x;;;;;;;;;;;;;
#EVTDESC2030_NEW;Anja Yesi-whatnow?'\n'Aniya Yezierska. Is my name unpronounceable?'\n'Kind of. Would you like to change it? It could be difficult for you to get a job otherwise.'\n\nUnpronounceable names and strange spellings could cause trouble for job-seeking immigrants.;;;;;;;;x;;;;;;;;;;;;;
#GW_INTERVENE_MAX_EXHAUSTION;Our war exhaustion cannot be greater than §G$MAX$§!. Currently it is §Y$VAL$§!.;;;;;;;;x;;;;;;;;;;;;;
#HAS_TECH_SCHOOL;Currently §Y$TECH$§W.\n;;;;;;;;x;;;;;;;;;;;;;
#MOB_ECO_IMPACT;Our development reduces it by §G-$VALUE$§W.;;;;;;;;x;;;;;;;;;;;;;
MOVEMENT_RADICALISM_ACCUMULATED;Suppression: §R$VAL$§!;;;;;;;;x;;;;;;;;;;;;;
MOVEMENT_RADICALISM_BASE;Base: §R$VAL$§!;;;;;;;;x;;;;;;;;;;;;;
MOVEMENT_RADICALISM_GRANTED_REFORMS;Granted reforms: §G$VAL$§!;;;;;;;;x;;;;;;;;;;;;;
#MUST_NEGOTIATE_WITH_WAR_LEADER;We must negotiate with the enemy §YWar leader§W if we are not leading our war;;;;;;;;x;;;;;;;;;;;;;
#OTHERS_CB_DETECTED_3;§Y$CASUS$§! Casus Belli;;;;;;;;x;;;;;;;;;;;;;
#OUTLINER_TOOLTIP_EMPLOYED;§Y$COUNT$§! Employed in factories (§Y$PERC$§!%);;;;;;;;x;;;;;;;;;;;;;
#RALLY_POINT_INFO;If you enable the §Yrally point§! in this province, then all nearest units will head this way when recruiting is done.\n(See recruitment map mode for more details.);;;;;;;;x;;;;;;;;;;;;;
#REMOVE_MILITARY_LEADER_NAME_TOOLTIP;§Y$NAME$§W is assigned to §Y$ARMY$§W,\ncurrently situated at §Y$$LOCATION§W.;;;;;;;;x;;;;;;;;;;;;;
#STATE_NONCORES;Non-core provinces in state: §R$VALUE$§%§W;;;;;;;;x;;;;;;;;;;;;;
#UNITARRIVED_6;They are awaiting further orders;;;;;;;;x;;;;;;;;;;;;;
#WAR_NEWS_TITLE_MEDIUM;$TAG_0_0_UPPER$ GOES TO WAR!;;;;;;;;x;;;;;;;;;;;;;
#WAR_NEWS_TITLE_SMALL;$TAG_0_0_$ at War!;;;;;;;;x;;;;;;;;;;;;;
WEGAINCB_LOG;We gained the '$CASUS$' Casus Belli against $ENEMY$.;;;;;;;;x;;;;;;;;;;;;;
#kiel_canal_NEWS_LONG;A combination of commercial and naval interests have led $TAG0_0$ to the idea of constructing an artificial waterway that'd allow vessels to travel between the Baltic and North Seas without having to circumnavigate the stormy seas around Jutland. The 61 miles long canal is expected to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries, and proves that nation's greatness can be achieved through manufacture, trade and engineering rather than through war and conquest.;;;;;;;;x;;;;;;;;;;;;;
#panama_canal_NEWS_LONG;The opening of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal is 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends. It was built in one of the most unhealthy areas of the entire world, so it's as much a monument to modern engineering as to modern medicine. The canal is expected to quickly become an important conduit to international maritime commerce, experts also claim it to offer great strategic advantage to its controller in times of war.;;;;;;;;x;;;;;;;;;;;;;
#panama_canal_NEWS_MEDIUM;The opening of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal is 48 miles long, and is in fact a locked waterway 85 feet above sea level. Built in one of most unhealthy places it's a monument to modern engineering as well as medicine.;;;;;;;;x;;;;;;;;;;;;;
#panama_canal_NEWS_SHORT;The opening of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal is 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends.;;;;;;;;x;;;;;;;;;;;;;
#protect_minor_desc;Select a §Ystate§W in the list to the right;;;;;;;;x;;;;;;;;;;;;;
#suez_canal_NEWS_LONG;A triumphant day for $TAG0_0$ as the first ship in history successfully passes through the newly opened canal across the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long and 26 feet deep Suez Canal is expected to soon become one of the world's most active shipping lanes, driving down freight costs and bolstering commerce world-wide. 'Shipping fees will never return the costs of maintenance, the route around Africa will remain dominant', sceptics claim in an attempt to diminish the importance of this development.;;;;;;;;x;;;;;;;;;;;;;
#suez_canal_NEWS_MEDIUM;A triumphant day for $TAG0_0$ as the first ship successfully passes through the newly opened canal across the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long Suez Canal is expected to soon become one of the world's most active shipping lanes.;;;;;;;;x;;;;;;;;;;;;;
#suez_canal_NEWS_SHORT;A triumphant day for $TAG0_0$ as the first ship in history successfully passes through the newly opened 102 miles long and 26 feet deep canal across the Isthmus of Suez.;;;;;;;;x;;;;;;;;;;;;;
millimeter_gun;76 Millimeter Gun;;;;;;;;x;;;;;;;;;;;;;
millimeter_gun_desc;Artillery weapons have become even larger, and capable of delivering even larger ordinance. These weapons are the future of modern warfare.;;;;;;;;x;;;;;;;;;;;;;
SWK;Sarawak;;;;;;;;x;;;;;;;;;;;;;
SWK_ADJ;Sarawakian;;;;;;;;x;;;;;;;;;;;;;
CYR;Cyrenaica;;;;;;;;x;;;;;;;;;;;;;
CYR_ADJ;Cyrenaican;;;;;;;;x;;;;;;;;;;;;;
DYA;Dayak;;;;;;;;x;;;;;;;;;;;;;
DYA_ADJ;Dayakian;;;;;;;;x;;;;;;;;;;;;;
FER;Far Eastern Republic;;;;;;;;x;;;;;;;;;;;;;
FER_ADJ;Far Eastern;;;;;;;;x;;;;;;;;;;;;;
HNB;Bangabhumi;;;;;;;;x;;;;;;;;;;;;;
HNB_ADJ;Bongoan;;;;;;;;x;;;;;;;;;;;;;
AAB;Antigua and Barbuda;;;;;;;;x;;;;;;;;;;;;;
AAB_ADJ;Antiguan;;;;;;;;x;;;;;;;;;;;;;
AAB_communist;Communist Party;;;;;;;;x;;;;;;;;;;;;;
AAB_conservative;Conservative Party;;;;;;;;x;;;;;;;;;;;;;
AAB_conservative_2;Trinitarios;;;;;;;;x;;;;;;;;;;;;;
AAB_conservative_3;Partido Rojo;;;;;;;;x;;;;;;;;;;;;;
AAB_conservative_4;Horacistas;;;;;;;;x;;;;;;;;;;;;;
AAB_traditionalist;Peoples Party;;;;;;;;x;;;;;;;;;;;;;
AAB_liberal;Liberal Party;;;;;;;;x;;;;;;;;;;;;;
AAB_liberal_2;Partido Azï¿½l;;;;;;;;x;;;;;;;;;;;;;
AAB_liberal_3;Partido Restaurador;;;;;;;;x;;;;;;;;;;;;;
AAB_liberal_4;Partido Verde;;;;;;;;x;;;;;;;;;;;;;
AAB_liberal_5;Jimenistas;;;;;;;;x;;;;;;;;;;;;;
AAB_populist;Patriot Party;;;;;;;;x;;;;;;;;;;;;;
AAB_progressive;Libertarian Party;;;;;;;;x;;;;;;;;;;;;;
AAB_socialist;Labour Party;;;;;;;;x;;;;;;;;;;;;;
ABANDON_GAME;Abandon Game;;;;;;;;x;;;;;;;;;;;;;
ABK;Abkhazia;;;;;;;;x;;;;;;;;;;;;;
ABK_ADJ;Abkhazian;;;;;;;;x;;;;;;;;;;;;;
ABK_communist;Communist Party;;;;;;;;x;;;;;;;;;;;;;
ABK_conservative;Conservative Party;;;;;;;;x;;;;;;;;;;;;;
ABK_traditionalist;Peoples Party;;;;;;;;x;;;;;;;;;;;;;
ABK_liberal;Liberal Party;;;;;;;;x;;;;;;;;;;;;;
ABK_populist;Patriot Party;;;;;;;;x;;;;;;;;;;;;;
ABK_progressive;Libertarian Party;;;;;;;;x;;;;;;;;;;;;;
ABK_socialist;Labour Party;;;;;;;;x;;;;;;;;;;;;;
ABU;Abu Dhabi;;;;;;;;x;;;;;;;;;;;;;
ABU_1162;Abu Dhabi;;;;;;;;x;;;;;;;;;;;;;
ABU_ADJ;Abu Dhabian;;;;;;;;x;;;;;;;;;;;;;
ABU_communist;The Communist Faction;;;;;;;;x;;;;;;;;;;;;;
ABU_conservative;Sheikhs Council;;;;;;;;x;;;;;;;;;;;;;
ABU_conservative_2;Trucial Sheiks;;;;;;;;x;;;;;;;;;;;;;
ABU_traditionalist;The Fascist Faction;;;;;;;;x;;;;;;;;;;;;;
ABU_liberal;The Liberal Faction;;;;;;;;x;;;;;;;;;;;;;
ABU_populist;The Nationalist Faction;;;;;;;;x;;;;;;;;;;;;;
ABU_progressive;The Radical Faction;;;;;;;;x;;;;;;;;;;;;;
ABU_socialist;The Socialist Faction;;;;;;;;x;;;;;;;;;;;;;
ACCEPT;Accept;;;;;;;;x;;;;;;;;;;;;;
ACTIVATE_GOODS;Activate: ;;;;;;;;x;;;;;;;;;;;;;
ACTIVATE_TECH_EFFECT;Activate technology: §Y$NAME$§!;;;;;;;;x;;;;;;;;;;;;;
ACTUAL_BOUGHT;Actual bought: $VAL$;;;;;;;;x;;;;;;;;;;;;;
ACT_NO_SELF;We cannot negotiate with ourselves.;;;;;;;;x;;;;;;;;;;;;;
ACT_WARDESC;Declaring war will allow our troops to attack theirs and allow us to enter their country. War will continue until either party surrenders.;;;;;;;;x;;;;;;;;;;;;;
ACW_DESC;Civil war rages in North America as the Conferate States attempt to secede from the Union. The outcome is uncertain, but already this promises to be a new type of war as both sides have access to railroads, telegraphs, and repeating rifles. Meanwhile, in Europe, Great Britain is experimenting with the first iron-hulled steam-driven warship, a combination which promises to revolutionise the war at sea. World wide the industrial revolution is gathering speed as more and more nations start to industrialise. The times they are a-changing.;;;;;;;;x;;;;;;;;;;;;;
ACW_NAME;A House Divided;;;;;;;;x;;;;;;;;;;;;;
ADAPTING_HISTORY;Adapting History...;;;;;;;;x;;;;;;;;;;;;;
ADDTOSPHERETITLE;Add to Sphere of Influence;;;;;;;;x;;;;;;;;;;;;;
ADDTOSPHERE_BUTTON;Add to Sphere;;;;;;;;x;;;;;;;;;;;;;
ADDTOSPHERE_DESC;Adds this country to our Sphere of Influence.;;;;;;;;x;;;;;;;;;;;;;
ADDTOSPHERE_DI;Add to Sphere;;;;;;;;x;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_1;§Y$RECIPIENT$§W;;;;;;;;x;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_2;$MONARCHTITLE$, we heard news that;;;;;;;;x;;;;;;;;;;;;;
